,0,1
159,"[5, 0, 2, 1]",0.0
160,"[3, 3, 4, 1]",1.0
161,"[2, 3, 4, 1]",1.0
162,"[3, 4, 1, 1]",1.0
163,"[0, 0, 1, 1]",0.0
164,"[5, 3, 3, 3]",1.0
165,"[2, 0, 0, 4]",0.0
166,"[3, 3, 5, 1]",1.0
167,"[5, 3, 2, 1]",1.0
168,"[7, 2, 3, 1]",1.0
169,"[3, 4, 4, 1]",1.0
170,"[4, 0, 0, 3]",0.0
171,"[4, 2, 4, 1]",1.0
172,"[3, 4, 4, 1]",1.0
173,"[6, 1, 4, 1]",1.0
174,"[11, 0, 1, 9]",0.0
175,"[1, 2, 3, 1]",1.0
176,"[3, 0, 1, 1]",0.0
177,"[3, 2, 5, 2]",0.0
178,"[0, 0, 0, 0]",0.0
179,"[4, 2, 4, 1]",1.0
180,"[4, 3, 3, 1]",1.0
181,"[2, 3, 2, 1]",1.0
182,"[3, 0, 2, 2]",0.0
183,"[0, 0, 0, 0]",0.0
184,"[6, 4, 3, 1]",1.0
185,"[1, 4, 3, 1]",1.0
186,"[1, 0, 0, 2]",0.0
187,"[2, 2, 0, 1]",0.0
188,"[5, 3, 3, 1]",1.0
189,"[2, 2, 5, 1]",1.0
190,"[0, 0, 0, 0]",0.0
191,"[1, 3, 3, 1]",1.0
192,"[1, 0, 0, 1]",0.0
193,"[4, 3, 3, 1]",1.0
194,"[5, 3, 3, 1]",1.0
195,"[3, 0, 1, 1]",0.0
196,"[5, 3, 5, 1]",1.0
197,"[4, 4, 3, 2]",1.0
198,"[7, 0, 1, 2]",0.0
199,"[5, 0, 0, 1]",0.0
200,"[3, 1, 1, 1]",0.0
201,"[3, 2, 3, 1]",1.0
202,"[4, 3, 4, 1]",1.0
203,"[5, 4, 4, 1]",1.0
204,"[4, 2, 4, 1]",1.0
205,"[3, 0, 4, 1]",0.0
206,"[2, 0, 1, 1]",0.0
207,"[5, 3, 4, 1]",1.0
208,"[6, 4, 6, 3]",0.0
209,"[1, 2, 3, 2]",0.0
210,"[3, 2, 3, 1]",1.0
211,"[1, 0, 7, 2]",0.0
212,"[0, 1, 0, 1]",0.0
213,"[4, 3, 3, 1]",1.0
214,"[3, 0, 0, 3]",0.0
215,"[3, 0, 0, 1]",0.0
216,"[4, 1, 1, 3]",0.0
217,"[4, 3, 0, 2]",1.0
218,"[5, 3, 2, 1]",1.0
219,"[4, 2, 3, 1]",1.0
220,"[5, 3, 1, 4]",0.0
221,"[0, 0, 0, 0]",0.0
222,"[3, 0, 0, 4]",0.0
223,"[0, 0, 0, 0]",0.0
224,"[0, 1, 0, 1]",0.0
225,"[3, 3, 3, 1]",1.0
226,"[2, 1, 4, 2]",0.0
227,"[4, 1, 4, 1]",1.0
228,"[0, 0, 0, 0]",0.0
229,"[3, 3, 3, 2]",1.0
230,"[2, 2, 2, 2]",0.0
231,"[3, 0, 3, 1]",0.0
232,"[3, 3, 4, 1]",1.0
233,"[0, 0, 0, 0]",0.0
234,"[4, 0, 5, 1]",1.0
235,"[2, 0, 3, 1]",0.0
236,"[4, 0, 4, 1]",1.0
237,"[8, 1, 2, 2]",0.0
238,"[5, 1, 4, 1]",1.0
239,"[2, 0, 0, 2]",0.0
240,"[7, 0, 5, 3]",0.0
241,"[2, 2, 5, 1]",1.0
242,"[7, 2, 4, 1]",1.0
243,"[3, 2, 2, 2]",0.0
244,"[7, 2, 4, 10]",0.0
245,"[2, 2, 3, 1]",1.0
246,"[0, 0, 0, 0]",0.0
247,"[4, 3, 4, 1]",1.0
248,"[3, 0, 3, 2]",0.0
249,"[2, 0, 2, 1]",0.0
